491011,RPR,Mechanics/Installers Supervisors
492011,RPR,Computer/ATM Repairers
492020,RPR,Radio/Telecom Equipment Installers
492091,RPR,Avionics Technicians
492092,RPR,Electric Motor/Tool Repairers
492096,RPR,Vehicle Electronic Equipment Installers
492097,RPR,Home Entertainment Equip Installers
492098,RPR,Security/Fire Alarm Installers
493011,RPR,Aircraft Mechanics/Technicians
493021,RPR,Automotive Body And Related Repairers
493022,RPR,Automotive Glass Installers/Repairers
493023,RPR,Auto Service Technicians
493031,RPR,Bus/Truck Mechanics
493040,RPR,Heavy Vehicle Mechanics
493050,RPR,Small Engine Mechanics
493090,RPR,Misc Auto Mechanics/Installers
499010,RPR,Control and Valve Installers/Repairers
499021,RPR,HVAC Mechanics
499031,RPR,Home Appliance Repairers
499043,RPR,"Maintenance Workers, Machinery"
499044,RPR,Millwrights
499051,RPR,Electrical Power Line Installers
499052,RPR,Telecom Line Installers
499060,RPR,Precision Instrument Repairers
499071,RPR,"Maintenance And Repair Workers, General"
499091,RPR,Vending/Amusement Machine Servicers
499094,RPR,Locksmiths And Safe Repairers
499096,RPR,Riggers
499098,RPR,Misc Install/Maintenance Helpers
511011,PRD,Production/Operating Supervisors
512011,PRD,Aircraft Assemblers
512020,PRD,Electrical/Electromechanical Assemblers
512031,PRD,Engine And Other Machine Assemblers
512041,PRD,Structural Metal Fabricators And Fitters
512090,PRD,Miscellaneous Assemblers And Fabricators
513011,PRD,Bakers
513020,PRD,Butchers/Meat Processing Workers
513091,PRD,Food and Tobacco Roasting
513092,PRD,Food Batchmakers
513093,PRD,Food Cooking Machine Operators
513099,PRD,"Food Processing Workers, All Other"
514010,PRD,Computer Control Programmers
514021,PRD,Extruding/Drawing Machine Setters
514022,PRD,Forging Machine Setters/Operators
514023,PRD,Rolling Machine Setters/Operators
514030,PRD,Machine Tool Cutting Setters/Operators
514041,PRD,Machinists
514050,PRD,Metal Furnace Workers
514111,PRD,Tool And Die Makers
514120,PRD,"Welding, Soldering, And Brazing Workers"
515111,PRD,Prepress Technicians And Workers
515112,PRD,Printing Press Operators
515113,PRD,Print Binding And Finishing Workers
516011,PRD,Laundry And Dry Cleaning Workers
516021,PRD,Pressers/Textile/Related Materials
516031,PRD,Sewing Machine Operators
516040,PRD,Shoe And Leather Workers
516050,PRD,"Tailors, Dressmakers, And Sewers"
516063,PRD,Textile Knitting Setters
516064,PRD,Textile Winding/Twisting Setters
516093,PRD,Upholsterers
517011,PRD,Cabinetmakers And Bench Carpenters
517021,PRD,Furniture Finishers
517041,PRD,Sawing Machine Setters/Operators
517042,PRD,Woodworking Machine Setters/Operators
518010,PRD,Power Plant Operators
518021,PRD,Stationary Engineers/Boiler Operators
518031,PRD,Water Treatment Plant Operators
518090,PRD,Miscellaneous Plant And System Operators
519010,PRD,Chemical Processing Setters/Operators
