socp	soc
439051	43-9051
439061	43-9061
439071	43-9071
439081	43-9081
439111	43-9111
439XXX	43-9031
439XXX	43-9199
451011	45-1011
452011	45-2011
452041	45-2041
4520XX	45-2021
4520XX	45-2091
4520XX	45-2092
4520XX	45-2093
4520XX	45-2099
453000	45-3011
453000	45-3021
454011	45-4011
454020	45-4021
454020	45-4022
454020	45-4023
454020	45-4029
471011	47-1011
472011	47-2011
472031	47-2031
472040	47-2041
472040	47-2042
472040	47-2043
472040	47-2044
472050	47-2051
472050	47-2053
472061	47-2061
472071	47-2071
47207X	47-2072
47207X	47-2073
472080	47-2081
472080	47-2082
472111	47-2111
472121	47-2121
472130	47-2131
472130	47-2132
472140	47-2141
472140	47-2142
472150	47-2151
472150	47-2152
472161	47-2161
472181	47-2181
472211	47-2211
472221	47-2221
472XXX	47-2021
472XXX	47-2022
472XXX	47-2171
473010	47-3011
473010	47-3012
473010	47-3013
473010	47-3014
473010	47-3015
473010	47-3016
473010	47-3019
474011	47-4011
474021	47-4021
474031	47-4031
474041	47-4041
474051	47-4051
474061	47-4061
475021	47-5021
475031	47-5031
475040	47-5041
475040	47-5042
475040	47-5049
4750XX	47-5051
4750XX	47-5061
4750XX	47-5081
4750XX	47-5099
4750YY	47-5011
4750YY	47-5012
4750YY	47-5013
4750YY	47-5071
47XXXX	47-2231
47XXXX	47-4071
47XXXX	47-4091
47XXXX	47-4099
491011	49-1011
492011	49-2011
492020	49-2021
492020	49-2022
492091	49-2091
492092	49-2092
492096	49-2096
492097	49-2097
492098	49-2098
49209X	49-2093
49209X	49-2094
49209X	49-2095
493011	49-3011
493021	49-3021
493022	49-3022
493023	49-3023
493031	49-3031
493040	49-3041
493040	49-3042
493040	49-3043
493050	49-3051
493050	49-3052
493050	49-3053
493090	49-3091
493090	49-3092
493090	49-3093
499010	49-9011
499010	49-9012
499021	49-9021
499031	49-9031
499043	49-9043
499044	49-9044
49904X	49-9041
49904X	49-9045
499051	49-9051
499052	49-9052
499060	49-9061
499060	49-9062
499060	49-9063
499060	49-9064
499060	49-9069
499071	49-9071
499091	49-9091
499094	49-9094
499096	49-9096
499098	49-9098
4990XX	49-9081
4990XX	49-9092
4990XX	49-9093
4990XX	49-9095
4990XX	49-9097
4990XX	49-9099
511011	51-1011
512011	51-2011
512020	51-2021
512020	51-2022
512020	51-2023
512031	51-2031
512041	51-2041
512090	51-2091
512090	51-2092
512090	51-2093
512090	51-2099
513011	51-3011
513020	51-3021
513020	51-3022
513020	51-3023
513091	51-3091
513092	51-3092
513093	51-3093
513099	51-3099
514010	51-4011
514010	51-4012
514021	51-4021
514022	51-4022
514023	51-4023
514030	51-4031
514030	51-4032
514030	51-4033
514030	51-4034
514041	51-4041
514050	51-4051
514050	51-4052
5140XX	51-4061
5140XX	51-4062
5140XX	51-4071
5140XX	51-4072
514111	51-4111
514120	51-4121
514120	51-4122
514XXX	51-4035
514XXX	51-4081
514XXX	51-4191
514XXX	51-4192
514XXX	51-4193
514XXX	51-4194
514XXX	51-4199
515111	51-5111
515112	51-5112
515113	51-5113
516011	51-6011
516021	51-6021
516031	51-6031
516040	51-6041
516040	51-6042
516050	51-6051
516050	51-6052
516063	51-6063
516064	51-6064
51606X	51-6061
51606X	51-6062
516093	51-6093
51609X	51-6091
51609X	51-6092
51609X	51-6099
517011	51-7011
517021	51-7021
517041	51-7041
517042	51-7042
5170XX	51-7031
5170XX	51-7032
5170XX	51-7099
518010	51-8011
518010	51-8012
518010	51-8013
518021	51-8021
518031	51-8031
518090	51-8091
518090	51-8092
518090	51-8093
518090	51-8099
519010	51-9011
519010	51-9012
519020	51-9021
519020	51-9022
519020	51-9023
519030	51-9031
519030	51-9032
519041	51-9041
519051	51-9051
519061	51-9061
519071	51-9071
519080	51-9081
519080	51-9082
519080	51-9083
519111	51-9111
519120	51-9121
519120	51-9122
519120	51-9123
519151	51-9151
519191	51-9191
519194	51-9194
519195	51-9195
519196	51-9196
519197	51-9197
519198	51-9198
5191XX	51-9141
5191XX	51-9192
5191XX	51-9193
5191XX	51-9199
531000	53-1011
531000	53-1021
531000	53-1031
532010	53-2011
532010	53-2012
532020	53-2021
532020	53-2022
532031	53-2031
533011	53-3011
533020	53-3021
533020	53-3022
533030	53-3031
533030	53-3032
533030	53-3033
533041	53-3041
533099	53-3099
534010	53-4011
534010	53-4012
534010	53-4013
534031	53-4031
5340XX	53-4021
5340XX	53-4041
5340XX	53-4099
535020	53-5021
535020	53-5022
5350XX	53-5011
5350XX	53-5031
536021	53-6021
536031	53-6031
536051	53-6051
536061	53-6061
5360XX	53-6011
5360XX	53-6041
5360XX	53-6099
537021	53-7021
537030	53-7031
537030	53-7032
537030	53-7033
537051	53-7051
537061	53-7061
537062	53-7062
537063	53-7063
537064	53-7064
537070	53-7071
537070	53-7072
537070	53-7073
537081	53-7081
5370XX	53-7011
5370XX	53-7041
5371XX	53-7111
5371XX	53-7121
