socp	onet
512090	51-2093.00
512090	51-2099.00
513011	51-3011.00
513020	51-3021.00
513020	51-3022.00
513020	51-3023.00
513091	51-3091.00
513092	51-3092.00
513093	51-3093.00
513099	51-3099.00
514010	51-4011.00
514010	51-4012.00
514021	51-4021.00
514022	51-4022.00
514023	51-4023.00
514030	51-4031.00
514030	51-4032.00
514030	51-4033.00
514030	51-4034.00
514XXX	51-4035.00
514041	51-4041.00
514050	51-4051.00
514050	51-4052.00
5140XX	51-4061.00
5140XX	51-4062.00
5140XX	51-4071.00
5140XX	51-4072.00
514XXX	51-4081.00
514111	51-4111.00
514120	51-4121.00
514120	51-4121.06
514120	51-4121.07
514120	51-4122.00
514XXX	51-4191.00
514XXX	51-4192.00
514XXX	51-4193.00
514XXX	51-4194.00
514XXX	51-4199.00
515111	51-5111.00
515112	51-5112.00
515113	51-5113.00
516011	51-6011.00
516021	51-6021.00
516031	51-6031.00
516040	51-6041.00
516040	51-6042.00
516050	51-6051.00
516050	51-6052.00
51606X	51-6061.00
51606X	51-6062.00
516063	51-6063.00
516064	51-6064.00
51609X	51-6091.00
51609X	51-6092.00
516093	51-6093.00
51609X	51-6099.00
517011	51-7011.00
517021	51-7021.00
5170XX	51-7031.00
5170XX	51-7032.00
517041	51-7041.00
517042	51-7042.00
5170XX	51-7099.00
518010	51-8011.00
518010	51-8012.00
518010	51-8013.00
518021	51-8021.00
518031	51-8031.00
518090	51-8091.00
518090	51-8092.00
518090	51-8093.00
518090	51-8099.00
518090	51-8099.01
518090	51-8099.02
518090	51-8099.03
518090	51-8099.04
519010	51-9011.00
519010	51-9012.00
519020	51-9021.00
519020	51-9022.00
519020	51-9023.00
519030	51-9031.00
519030	51-9032.00
519041	51-9041.00
519051	51-9051.00
519061	51-9061.00
519071	51-9071.00
519071	51-9071.01
519071	51-9071.06
519071	51-9071.07
519080	51-9081.00
519080	51-9082.00
519080	51-9083.00
519111	51-9111.00
519120	51-9121.00
519120	51-9122.00
519120	51-9123.00
5191XX	51-9141.00
519151	51-9151.00
519191	51-9191.00
5191XX	51-9192.00
5191XX	51-9193.00
519194	51-9194.00
519195	51-9195.00
519195	51-9195.03
519195	51-9195.04
519195	51-9195.05
519195	51-9195.07
519196	51-9196.00
519197	51-9197.00
519198	51-9198.00
5191XX	51-9199.00
5191XX	51-9199.01
531000	53-1011.00
531000	53-1021.00
531000	53-1021.01
531000	53-1031.00
